ds,yhat,yhat_lower,yhat_upper
2025-02-22,95686.38257405814,87375.47559527954,103684.34439195863
2025-02-23,95768.9155579008,87537.72337176591,104076.34417230278
2025-02-24,95922.34963890706,87554.87047396982,103730.56928574383
2025-02-25,95851.85218245212,87484.36967796522,103372.08832392498
2025-02-26,96071.45603431387,87866.51971997632,104563.53919000302
2025-02-27,95861.35084880417,88064.34550020246,103890.1988169116
2025-02-28,95783.8271297337,88153.36377633667,104601.40444750429
2025-03-01,95769.02648134345,87773.90732415844,104526.96372288949
2025-03-02,95857.41257227934,87626.19244423386,104114.49047496413
2025-03-03,96034.79669567083,87212.33649911117,103721.2020364706
2025-03-04,96006.58630200042,88217.43547710117,103768.43434699255
2025-03-05,96286.47879447846,88613.4205301998,104645.67841097883
2025-03-06,96153.75398646938,87701.43097249584,104110.11409324038
2025-03-07,96169.23686032348,87693.97315725178,104495.54090023547
2025-03-08,96261.08361992046,88224.5351603668,104605.37964111977
2025-03-09,96467.30451991336,88201.78889969573,104614.9764609901
2025-03-10,96770.85585007705,88874.59299522196,104963.23116695373
2025-03-11,96873.96750751304,88217.19249324953,105074.55011046278
2025-03-12,97286.926121496,88960.07658436029,105099.15531130346
2025-03-13,97285.46449437331,89397.03369950029,105572.09997774837
2025-03-14,97426.82612940464,88962.10936410577,106046.71992660894
2025-03-15,97635.65482294986,88655.55333672932,105293.9768486874
2025-03-16,97946.61973283217,90286.38238133736,105888.92406030977
2025-03-17,98339.6052656061,90446.48277018576,105885.06886139083
2025-03-18,98514.136113734,90433.14906266412,106110.54899284725
2025-03-19,98978.2206721733,90529.78229625586,106940.34889496438
2025-03-20,99005.8292722383,90208.18333170579,107247.88711821014
2025-03-21,99153.00588789195,90971.43671809806,107004.3535065186
2025-03-22,99343.79571816129,90791.58235183779,107145.06829484254
2025-03-23,99612.89111066188,92082.01554662874,108124.53603015188
2025-03-24,99940.82453712937,91868.95208248202,108138.42689960526
2025-03-25,100028.37203807777,91370.42324941995,107976.9823876689
2025-03-26,100385.38482731463,92894.40887671342,108851.96481649339
2025-03-27,100288.19835467513,91982.5452526396,108121.8385781944
2025-03-28,100295.68698506177,92284.91241277242,108210.27900627538
2025-03-29,100335.11452850622,92882.75441382946,109342.10921230957
2025-03-30,100444.6921521581,91657.04927303364,108564.54138591753
2025-03-31,100608.67496403132,92207.49322303591,108418.61575381029
2025-04-01,100531.66350815732,91952.35408376982,108656.77884292943
2025-04-02,100727.33084369634,92693.47516109099,108687.23447191069
2025-04-03,100475.7275584824,92944.10467229557,108563.10176575299
2025-04-04,100339.23590644488,92258.20771853162,108216.51618467415
2025-04-05,100248.32622400312,91840.99927112463,108871.97764561199
2025-04-06,100244.02987878326,92142.8830896634,107850.59345505698
2025-04-07,100312.9624842039,92179.21773670097,107734.8027335114
2025-04-08,100161.56571209569,92401.74980687477,108852.87957716618
2025-04-09,100304.79005544206,92068.23561514853,108304.94157798447
2025-04-10,100023.3721087873,91654.0542661894,108355.21729026004
2025-04-11,99879.77827500286,91217.09977493287,107926.00218095546
2025-04-12,99803.96825429134,92021.04430810208,108386.29974699633
2025-04-13,99835.89224626565,91767.76726729936,107225.80695149259
2025-04-14,99960.55476350995,91423.1479193494,107899.15940432438
2025-04-15,99882.31206728252,91292.14137994322,107645.74166901408
2025-04-16,100113.62381022905,91820.68050332788,108495.7980064355
2025-04-17,99932.41029488479,92191.03557284674,107930.12261622124
2025-04-18,99898.08477217681,92059.23130648062,108441.52703682255
2025-04-19,99937.41140118385,91839.2365891392,107778.95251624113
2025-04-20,100087.09989934466,91846.9351225218,108389.49949582297
2025-04-21,100328.9668008784,92357.89278628603,108684.13556646644
2025-04-22,100364.32736480774,92512.77538404777,108032.79855142592
2025-04-23,100702.83584963133,92725.65921804588,108808.42244521382
2025-04-24,100619.92288387284,92357.89842739026,108877.62949801727
2025-04-25,100672.89694669358,93078.52244194031,108404.56693824404
2025-04-26,100786.8585123026,92599.1063686244,108892.96151533005
2025-04-27,100997.33622507802,93025.46998478781,109105.08964845937
2025-04-28,101285.4738164638,92844.97876344174,109592.44501429408
2025-04-29,101352.43109058219,93365.66266284196,109624.65736138984
2025-04-30,101708.2164951011,93616.60933812613,110162.98230238857
2025-05-01,101629.10032620099,93446.30144535353,109957.23899170136
2025-05-02,101673.67641187801,92878.87866549836,110214.87056275645
2025-05-03,101768.72214275862,93638.61051407522,109416.99930216066
2025-05-04,101951.76797818109,94471.55000300145,110351.60885406303
2025-05-05,102206.20729143565,94377.42405350169,110218.44393035122
2025-05-06,102235.61236040114,94106.27259558922,110983.26123549878
2025-05-07,102552.476750373,94334.7656516785,110323.63209884502
2025-05-08,102435.53603581984,93871.69377161906,110423.6384212321
2025-05-09,102445.73768226079,94225.9505284831,110720.71979967067
2025-05-10,102512.01292221829,93913.96657675714,110298.93579482115
2025-05-11,102673.76461445827,94045.32311991641,110590.08315753333
2025-05-12,102915.9046203512,94062.48546247333,110743.80381956852
2025-05-13,102943.10889921799,94803.6565487224,110687.07490962319
2025-05-14,103268.51261612464,94974.0487471232,111458.17155860412
2025-05-15,103170.99884209836,95196.89156316953,111440.2537868677
2025-05-16,103211.15283572339,94439.74149561595,111603.72381141881
2025-05-17,103317.03540402956,95374.02833639392,111683.08568985424
2025-05-18,103526.68946893973,95268.89124520162,111232.3879944835
2025-05-19,103823.21297583003,95805.43639156721,112511.59803267643
2025-05-20,103909.06542328438,95582.36121154753,111896.60718205814
2025-05-21,104294.82888378736,96188.71918259564,112774.3724563898
2025-05-22,104256.57521062253,96378.81174653288,112325.38519303124
2025-05-23,104351.9091281452,96362.09579642079,112626.58291937556
2025-05-24,104505.83807096804,96196.99711006363,112813.8486561473
2025-05-25,104753.38000246746,96792.87822348232,112629.47487369849
2025-05-26,105074.73927523915,96740.46202840203,113184.83919985303
2025-05-27,105169.71465181917,97342.99637740679,113250.30053693206
2025-05-28,105546.5572022053,98047.88251859446,113832.64225941867
2025-05-29,105479.42672251028,97383.75316616258,114161.17287470226
2025-05-30,105524.51351545092,96818.11691736302,113632.52276619484
2025-05-31,105605.97382327181,97276.19092603917,114093.53454801923
2025-06-01,105758.58792919364,97460.84883221035,113364.09362680014
2025-06-02,105962.96920532451,97468.56828353292,113952.06838535392
2025-06-03,105919.98692686808,97891.17901816026,114478.15950634558
2025-06-04,106139.61979951736,97985.7468152579,114589.94869851074
2025-06-05,105898.38863078311,97689.82192842304,114506.02405545927
2025-06-06,105755.43533944628,97556.9624581859,113814.75720572736
2025-06-07,105638.39750863714,96664.7351158669,114639.66137473969
2025-06-08,105585.98895285922,97126.97228627879,113286.86477783705
2025-06-09,105583.11653221076,97659.4726269972,113649.26352138551
2025-06-10,105335.19843716647,97152.25435746898,113727.66223141855
2025-06-11,105356.90367596486,97485.98613043039,113845.08183970072
2025-06-12,104929.4642843139,96616.86360261733,112771.61973151477
2025-06-13,104616.6307570292,95936.38232236369,111873.89566075256
2025-06-14,104350.42333507662,96643.66144473589,112867.05623524902
2025-06-15,104173.59307076414,95966.32082257983,112501.70095071451
2025-06-16,104074.62628198815,95948.57460724571,112183.99444273465
2025-06-17,103761.96082419711,95633.40015170608,111837.58378536119
2025-06-18,103752.63685216701,95610.88165945027,111828.92902408272
2025-06-19,103329.53618019243,95503.54813562211,111491.35545131622
2025-06-20,103057.28290227038,95065.14749449387,111220.36313673503
2025-06-21,102867.95957671606,94646.05974295347,111142.54645621301
2025-06-22,102803.55402801055,94755.88343281488,110594.94290450057
2025-06-23,102850.97093123042,95320.9178570429,110934.27228942244
2025-06-24,102716.27656851416,95021.74757982584,110505.30195112154
2025-06-25,102913.39879551096,94708.47658600289,111611.27166143748
2025-06-26,102721.43511340275,94503.7412919651,110754.11933446638
2025-06-27,102700.63974868649,94820.5578632965,110521.21431753343
2025-06-28,102778.24178783089,94652.90374523788,110880.01244516257
2025-06-29,102991.00672693094,94380.13732501437,111097.8693093768
2025-06-30,103320.37254916737,94826.92843242867,111277.82350094647
2025-07-01,103466.82539263062,96253.56161759658,111502.21202090755
2025-07-02,103938.73333901304,96004.74678359582,111689.63381495666
2025-07-03,104009.78762964279,95565.46344647647,112342.34338974016
2025-07-04,104235.11864157944,96272.81294738404,111989.41417430832
2025-07-05,104537.23522182775,96081.22412446832,113438.94381323925
2025-07-06,104948.69650855433,96539.39119206803,113134.66187943365
2025-07-07,105447.34442970454,97657.72235448865,113598.90051638955
2025-07-08,105730.75941024971,98181.39804858725,114107.93711349864
2025-07-09,106305.15574924853,98189.92451621009,114697.20330750682
2025-07-10,106442.86442345144,98462.82921974991,115169.12623151504
2025-07-11,106698.46966275347,98251.5781233594,114712.86156683424
2025-07-12,106994.74749677452,98713.31930003171,115895.86308926843
2025-07-13,107365.3156009878,99326.67224123645,115825.82895551829
2025-07-14,107789.82342278033,99342.1877052837,115848.6061063502
2025-07-15,107968.34647458277,99729.20151096261,115897.17334153294
2025-07-16,108410.20313610691,100052.03724039254,116428.91435690165
2025-07-17,108391.34407237673,100092.33007809854,117008.00282483034
2025-07-18,108470.38336259314,99827.01533942929,116608.5637259542
2025-07-19,108574.42260811807,100881.70041193656,116805.67230110767
2025-07-20,108741.58064653138,100673.34629926593,116975.76709849756
2025-07-21,108956.06128451877,100436.88194139654,117029.48817368824
2025-07-22,108922.42640320872,100544.14625779212,117136.78382541926
2025-07-23,109154.29617873084,101062.87366293739,117176.97822361221
2025-07-24,108931.62976165274,101182.91087608907,116843.98840396325
2025-07-25,108816.65849096212,100649.6949409241,116659.26998881155
2025-07-26,108739.62555025733,100685.87500895983,117181.22685225181
2025-07-27,108741.24691664171,100761.70946111188,118203.92451961797
2025-07-28,108807.72776064792,100259.06586516082,116756.58297439078
2025-07-29,108645.00287053785,100506.2395526071,117386.34699581712
2025-07-30,108767.42350522245,100600.30367706815,116626.62075764117
2025-07-31,108455.04410701215,100212.00026659438,116418.15183771844
2025-08-01,108269.5804644741,100401.35928367772,116992.70007829634
2025-08-02,108140.19219280707,100428.46991369054,116325.70431005332
2025-08-03,108106.00282126873,99685.63633597275,116305.40830128056
2025-08-04,108151.1896138283,100608.59320174599,115874.67837490237
2025-08-05,107979.30925621344,100235.95203742578,115567.18804341462
2025-08-06,108102.07904038689,100417.82374970969,116086.46146811309
2025-08-07,107796.763956058,99064.21195017055,116367.95803807376
2025-08-08,107622.23810108326,99816.71792324941,115652.26956208532
2025-08-09,107504.87003893184,99575.86419457663,116070.60284233323
2025-08-10,107481.14219015061,99205.22188625985,115467.11174272922
2025-08-11,107532.83331398493,99455.962110172,115679.3432006962
2025-08-12,107361.42736769603,99629.1026517318,115336.64844591515
2025-08-13,107476.96583811592,99565.91265647733,115669.27400065074
2025-08-14,107155.49180292232,99112.39495683761,115322.50069368766
2025-08-15,106955.15242934675,98510.94270611019,114661.15096236067
2025-08-16,106802.1083322617,98562.73468648047,115473.36844194205
2025-08-17,106733.15920525804,99012.94415036197,115684.36742813475
2025-08-18,106730.91465923912,98830.69422336538,115267.90514036217
2025-08-19,106498.17398850636,98415.0218856389,115015.43559225636
2025-08-20,106546.73293088062,98694.06573836703,114588.80544732878
2025-08-21,106154.76716042319,98401.89385158781,114082.10743269128
2025-08-22,105882.86116472687,98040.59618825423,113475.80054324037
2025-08-23,105659.83327642034,98391.78735627614,113772.28419943129
2025-08-24,105525.26895179093,97601.5139193837,113904.08088145468
2025-08-25,105464.59416024013,97766.23026699638,113179.58488138358
2025-08-26,105183.35569422937,96660.62586438395,113418.00362449179
2025-08-27,105195.92962254497,97094.91194925974,113247.81705869574
